,Category,top10,top10_scores
385,computer networks architectures,"['md tanvir arafin', 'lap fai craig yu', 'shima mohebbi', 'peggy brouse', 'mohamed ibrahem', 'zoran duric', 'pilgyu kang', 'david binning', 'zhi tian', 'sai manoj pudukotai dinakarrao']","[0.16770509831248423, 0.14907119849998599, 0.14234965584343245, 0.1341640786499874, 0.09036961141150639, 0.0895143592549291, 0.0881917103688197, 0.08349657214468661, 0.08336550215650923, 0.08238415256818211]"
386,wireless optical communications,"['zhi tian', 'sai manoj pudukotai dinakarrao', 'pilgyu kang', 'shima mohebbi', 'omoche cheche agada', 'nathalia peixoto', 'nora mcdonald', 'jill nelson', 'peggy brouse', 'kuochu chang']","[0.1564260591113641, 0.09329962099123679, 0.08728715609439697, 0.08013097181724992, 0.06870053865727263, 0.0670820393249937, 0.0670552225982275, 0.06614378277661477, 0.06454972243679029, 0.05971792013662197]"
387,human ai collaboration,"['lap fai craig yu', 'zoran duric', 'md tanvir arafin', 'omoche cheche agada', 'hoda hassan', 'nora mcdonald', 'maryam parsa', 'robert simon', 'gregory stein', 'jill nelson']","[0.28022426915890253, 0.15384615384615385, 0.12009611535381537, 0.09586409713301774, 0.0946163550445155, 0.06653741390233155, 0.0637312410638076, 0.0627181507505318, 0.06032800351931836, 0.058600903867311926]"
388,semantic computing,"['lap fai craig yu', 'ilhan izmirli', 'nora mcdonald', 'omoche cheche agada', 'hoda hassan', 'shima mohebbi', 'shanjiang zhu', 'robert simon', 'quentin sanders', 'md tanvir arafin']","[0.14852213144650117, 0.10322383575366637, 0.10285801610441503, 0.09220908876389602, 0.09100891931116015, 0.08509520756235606, 0.08084520834544431, 0.07756315349925286, 0.07680324423755633, 0.07426106572325059]"
389,social computing,"['lap fai craig yu', 'zhi tian', 'david lattanzi', 'zoran duric', 'shima mohebbi', 'omoche cheche agada', 'ilhan izmirli', 'nathalia peixoto', 'jill nelson', 'hoda hassan']","[0.1307440900921227, 0.08530244589991118, 0.08401478790412122, 0.07850928662766596, 0.0749093443218469, 0.06957574003807325, 0.06815098707844677, 0.06793662204867573, 0.06698641270570836, 0.060086390306203885]"
390,web intelligence,"['lap fai craig yu', 'sai manoj pudukotai dinakarrao', 'nora mcdonald', 'omoche cheche agada', 'kuochu chang', 'zhi tian', 'mohamed ibrahem', 'hoda hassan', 'shima mohebbi', 'david binning']","[0.1324532357065044, 0.12950811776937926, 0.12383497220405877, 0.12334921451816425, 0.10065669612211842, 0.08230243607705243, 0.08029550685469662, 0.07826382855607106, 0.06324049416618768, 0.05564148840746573]"
391,crisis informatics,"['omoche cheche agada', 'nora mcdonald', 'robert simon', 'hoda hassan', 'sai manoj pudukotai dinakarrao', 'david kepplinger', 'zoran duric', 'jyh ming lien', 'kuochu chang', 'shima mohebbi']","[0.17002515864504109, 0.1517286483621763, 0.09534625892455922, 0.07191949522280762, 0.06209204205650662, 0.05234239225902137, 0.043852900965351466, 0.04016096644512494, 0.03619452538882463, 0.03486840218772033]"
392,neuroprosthesis,"['giacomo francisci', 'jason goldberg', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka', 'erion plaku', 'fang yi yu', 'haikun huang', 'lannan lisa luo', 'maha shamseddine']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
393,functional electrical stimulation,"['md tanvir arafin', 'david binning', 'david lattanzi', 'filipe veiga', 'sai manoj pudukotai dinakarrao', 'nora mcdonald', 'peggy brouse', 'sean luke', 'lap fai craig yu', 'kenneth pasiah']","[0.13847792735174935, 0.1292719224987548, 0.12429576904403139, 0.10837850045363359, 0.10465611553639653, 0.1022954338575129, 0.0984731927834662, 0.0959403223600247, 0.09231861823449956, 0.08592717535621511]"
394,deep brain stimulation,"['ilhan izmirli', 'shima mohebbi', 'sean luke', 'david lattanzi', 'david binning', 'kenneth pasiah', 'wenying ji', 'filipe veiga', 'peggy brouse', 'maryam parsa']","[0.1198308767250888, 0.10285089922214907, 0.09733285267845751, 0.09457489936962496, 0.08524635983116866, 0.08172597129544446, 0.07647191129018724, 0.07612031443336958, 0.07492686492653551, 0.06922732746187456]"
395,neural engineering,"['shima mohebbi', 'pilgyu kang', 'md tanvir arafin', 'peggy brouse', 'david binning', 'kuochu chang', 'zhi tian', 'david kepplinger', 'ilhan izmirli', 'zoran duric']","[0.10858736967796619, 0.10251356592513193, 0.09476225544736294, 0.09097176522946841, 0.08492396737313095, 0.07013514034317736, 0.06594828855224269, 0.06520198622764671, 0.0646629150846087, 0.05462677805469223]"
396,icns,"['giacomo francisci', 'jason goldberg', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka', 'erion plaku', 'fang yi yu', 'haikun huang', 'lannan lisa luo', 'maha shamseddine']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
397,dtns,"['giacomo francisci', 'jason goldberg', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka', 'erion plaku', 'fang yi yu', 'haikun huang', 'lannan lisa luo', 'maha shamseddine']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
398,icdtns,"['giacomo francisci', 'jason goldberg', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka', 'erion plaku', 'fang yi yu', 'haikun huang', 'lannan lisa luo', 'maha shamseddine']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
399,unsupervised learning,"['ilhan izmirli', 'david lattanzi', 'filipe veiga', 'zoran duric', 'shima mohebbi', 'david binning', 'kenneth pasiah', 'mohamed ibrahem', 'quentin sanders', 'david kepplinger']","[0.10876579673549196, 0.08194002846764309, 0.07772785890031975, 0.07657048647896111, 0.07305944535894636, 0.0714228778674107, 0.0667615189204645, 0.06625891564490793, 0.06594028719715836, 0.06397564688682227]"
400,network modeling,"['shima mohebbi', 'peggy brouse', 'md tanvir arafin', 'pilgyu kang', 'kuochu chang', 'david binning', 'filipe veiga', 'david lattanzi', 'gregory stein', 'nathalia peixoto']","[0.1713272243482215, 0.11041048949477668, 0.08625819491779427, 0.06998542122237651, 0.05928106042909352, 0.05797710356524484, 0.05608456449716065, 0.05067759168069628, 0.04621884437579451, 0.03984095364447979]"
401,high dimensional statistics,"['wenying ji', 'david lattanzi', 'sara lynn gopalkrishna', 'ilhan izmirli', 'david binning', 'kenneth pasiah', 'mohamed ibrahem', 'sean luke', 'zoran duric', 'filipe veiga']","[0.1162476387438193, 0.1045575468113227, 0.10274936706584833, 0.08545736740784265, 0.05980891671216751, 0.05797610929990149, 0.05753964555687506, 0.05753964555687505, 0.05699509407344415, 0.05142807289354647]"
402,spatio temporal models,"['filipe veiga', 'david kepplinger', 'shima mohebbi', 'david lattanzi', 'shanjiang zhu', 'gregory stein', 'david binning', 'kenneth pasiah', 'zhi tian', 'quentin sanders']","[0.12040630426286159, 0.10352733788962426, 0.1007961105625448, 0.09179850920431568, 0.08568173997389716, 0.07907062272634258, 0.0777933380015561, 0.07756396362175336, 0.07249313936680667, 0.06463956203828576]"
403,random forest,"['kenneth pasiah', 'robert simon', 'md tanvir arafin', 'jyh ming lien', 'zhi tian', 'sean luke', 'pei dong', 'filipe veiga', 'kuochu chang', 'maryam parsa']","[0.19117589636314986, 0.04767312946227961, 0.045643546458763846, 0.04016096644512494, 0.03403382373905639, 0.03162277660168379, 0.027317918235407652, 0.024730968341474896, 0.024129683592549755, 0.02076136996343499]"
404,network security,"['peggy brouse', 'mohamed ibrahem', 'shima mohebbi', 'kuochu chang', 'maryam parsa', 'pilgyu kang', 'david binning', 'filipe veiga', 'md tanvir arafin', 'sai manoj pudukotai dinakarrao']","[0.2088931871468374, 0.18090680674665816, 0.14960572664742225, 0.11503375297914686, 0.10887354258892316, 0.10298573010888744, 0.09750298988361741, 0.0943202124376537, 0.08703882797784893, 0.07400304898842877]"
405,wireless networks,"['shima mohebbi', 'peggy brouse', 'zhi tian', 'pilgyu kang', 'david binning', 'jill nelson', 'kuochu chang', 'nathalia peixoto', 'maryam parsa', 'sai manoj pudukotai dinakarrao']","[0.20689727957574988, 0.20000000000000004, 0.16052052288364338, 0.1267731382092775, 0.11669000700233416, 0.10978875820671, 0.10462961173872257, 0.09622504486493764, 0.08528602990262664, 0.07085252515814197]"
406,ai ml wireless,"['lap fai craig yu', 'zhi tian', 'zoran duric', 'jill nelson', 'md tanvir arafin', 'shima mohebbi', 'peggy brouse', 'omoche cheche agada', 'maryam parsa', 'hoda hassan']","[0.2553769592276246, 0.1745518735371038, 0.1431256435191679, 0.12461119656980671, 0.10640706634484359, 0.10567359626104542, 0.10215078369104984, 0.1019245358303505, 0.09680038658279579, 0.08942036680197916]"
407,wireless security,"['mohamed ibrahem', 'zhi tian', 'peggy brouse', 'jill nelson', 'sai manoj pudukotai dinakarrao', 'shima mohebbi', 'maryam parsa', 'kuochu chang', 'pilgyu kang', 'filipe veiga']","[0.16583123951776996, 0.16224988852084402, 0.13926212476455826, 0.11467061807346574, 0.10360426858380029, 0.09973715109828152, 0.09897594780811196, 0.09777869003227484, 0.08827348295047495, 0.082530185882947]"
408,o ran,"['ilhan izmirli', 'filipe veiga', 'lap fai craig yu', 'hoda hassan', 'gregory stein', 'kenneth pasiah', 'pilgyu kang', 'david binning', 'nathalia peixoto', 'maryam parsa']","[0.07836534206672374, 0.07663517260559363, 0.06527912098338669, 0.0571437901103118, 0.05465287849960209, 0.05316472733476213, 0.05149286505444372, 0.04875149494180871, 0.04522670168666454, 0.044539176513650386]"
409,5g next g,"['ilhan izmirli', 'david lattanzi', 'david binning', 'kenneth pasiah', 'nora mcdonald', 'zoran duric', 'filipe veiga', 'kuochu chang', 'sean luke', 'quentin sanders']","[0.19188532269859077, 0.1639956501641758, 0.158432384536849, 0.15588675511104763, 0.1484652852196527, 0.14303239192265577, 0.13712799184499003, 0.12592376001053793, 0.12377054955105521, 0.12317535692381826]"
410,spectrum sharing,"['kenneth pasiah', 'ilhan izmirli', 'paulo costa', 'sean luke', 'gregory stein', 'wenying ji', 'maryam parsa', 'filipe veiga', 'peggy brouse', 'zhi tian']","[0.06021474743413714, 0.045779999816879996, 0.039537051772666504, 0.03585685828003181, 0.03466413328184588, 0.03380617018914066, 0.03138824102871722, 0.028042282248580325, 0.02760262237369417, 0.02572715250804275]"
411,image processing,"['ilhan izmirli', 'david binning', 'david lattanzi', 'zoran duric', 'quentin sanders', 'david kepplinger', 'shima mohebbi', 'shanjiang zhu', 'sean luke', 'filipe veiga']","[0.20835828193929468, 0.201694422511186, 0.19485835664750467, 0.18208926018230745, 0.15681000166086906, 0.152137967864509, 0.15202231754915266, 0.15130731258870891, 0.1444370761456948, 0.14376565932158045]"
412,medical image analysis,"['ilhan izmirli', 'shanjiang zhu', 'david kepplinger', 'david lattanzi', 'david binning', 'zhi tian', 'sean luke', 'quentin sanders', 'zoran duric', 'filipe veiga']","[0.31591201180328166, 0.26712542462450295, 0.2628001654121231, 0.2549958589008769, 0.24893868160497953, 0.23473968937823111, 0.23094010767585027, 0.22982955391390492, 0.2268482178905401, 0.22576182049286547]"
413,biophysics,"['kenneth pasiah', 'zoran duric', 'mohamed ibrahem', 'kuochu chang', 'paulo costa', 'shima mohebbi', 'ilhan izmirli', 'giacomo francisci', 'david kepplinger', 'jason goldberg']","[0.10075854437197568, 0.06933752452815364, 0.049999999999999996, 0.038152379685825785, 0.02756589232099856, 0.02756589232099856, 0.027358782758229137, 0.0, 0.0, 0.0]"
414,cooperative control,"['ilhan izmirli', 'david lattanzi', 'filipe veiga', 'david binning', 'quentin sanders', 'shanjiang zhu', 'zoran duric', 'wenying ji', 'shima mohebbi', 'kenneth pasiah']","[0.15321119807074315, 0.13698614269225304, 0.13475705095674717, 0.12189130152520147, 0.11789342623269697, 0.10529515786570866, 0.09956288286669089, 0.08799666764491365, 0.08708109208233149, 0.08680850277876881]"
415,animal group behavior,"['pilgyu kang', 'jyh ming lien', 'david lattanzi', 'maryam parsa', 'pei dong', 'gregory stein', 'nathalia peixoto', 'kenneth pasiah', 'zoran duric', 'zhi tian']","[0.09128709291752768, 0.06788442333021306, 0.05665926996700735, 0.05263968047576972, 0.04617570965396101, 0.04521495906627016, 0.0445435403187374, 0.040393280553213506, 0.03706246583305506, 0.03355780276070121]"
416,multi robot systems,"['md tanvir arafin', 'david lattanzi', 'pilgyu kang', 'gregory stein', 'jyh ming lien', 'filipe veiga', 'kenneth pasiah', 'sai manoj pudukotai dinakarrao', 'lap fai craig yu', 'maryam parsa']","[0.10416666666666669, 0.07649875767026307, 0.056343616981901115, 0.05581455721859476, 0.0549926681330075, 0.045152364098573095, 0.04362972953723627, 0.04251151509488519, 0.04166666666666668, 0.037904902178945175]"
417,game theory,"['lap fai craig yu', 'shima mohebbi', 'gregory stein', 'peggy brouse', 'kenneth pasiah', 'david binning', 'md tanvir arafin', 'david lattanzi', 'filipe veiga', 'ilhan izmirli']","[0.09128709291752769, 0.08717100546930083, 0.07642723006446789, 0.06085806194501846, 0.05310441565643051, 0.051130999256491366, 0.045643546458763846, 0.044693434876932725, 0.04121828056912483, 0.03460642701029913]"
418,medicine,"['omoche cheche agada', 'ilhan izmirli', 'robert simon', 'mohamed ibrahem', 'gregory stein', 'zoran duric', 'nathalia peixoto', 'sara lynn gopalkrishna', 'david kepplinger', 'nora mcdonald']","[0.0858756733215908, 0.07341131763485946, 0.0674199862463242, 0.0670820393249937, 0.06485065517506754, 0.062017367294604234, 0.05962847939999439, 0.055901699437494755, 0.0555174907648204, 0.05364417807858201]"
419,ultrasound,"['david lattanzi', 'peggy brouse', 'kenneth pasiah', 'sean luke', 'sara lynn gopalkrishna', 'david binning', 'filipe veiga', 'zoran duric', 'wenying ji', 'david kepplinger']","[0.1133185399340147, 0.06172133998483676, 0.05385770740428467, 0.05345224838248487, 0.0445435403187374, 0.043213581570144294, 0.04180296623470751, 0.03706246583305506, 0.02519763153394848, 0.02211869776019044]"
420,rehabilitation engineering,"['pilgyu kang', 'md tanvir arafin', 'david kepplinger', 'ilhan izmirli', 'david binning', 'zhi tian', 'peggy brouse', 'shima mohebbi', 'omoche cheche agada', 'jyh ming lien']","[0.07688517444384896, 0.07580980435789035, 0.06520198622764671, 0.0646629150846087, 0.0636929755298482, 0.06123769651279679, 0.060647843486312275, 0.05791326382824863, 0.05042793173887751, 0.050027800947380255]"
421,biology,"['nora mcdonald', 'david kepplinger', 'omoche cheche agada', 'ilhan izmirli', 'david lattanzi', 'shanjiang zhu', 'hoda hassan', 'robert simon', 'zoran duric', 'shima mohebbi']","[0.09617558454562519, 0.08847479104076177, 0.08211284927985571, 0.05849553805741234, 0.05665926996700735, 0.0419960525565808, 0.04052204492365539, 0.04029114820126901, 0.03706246583305506, 0.029469178464536953]"
422,engineering,"['pilgyu kang', 'md tanvir arafin', 'david kepplinger', 'ilhan izmirli', 'david binning', 'shima mohebbi', 'omoche cheche agada', 'jyh ming lien', 'kuochu chang', 'paulo costa']","[0.08451542547285168, 0.08333333333333336, 0.0716727723851245, 0.07108020265573839, 0.058345003501167086, 0.05570311373193266, 0.055432508769811616, 0.0549926681330075, 0.04956139503413175, 0.04774552605594228]"
423,musculoskeletal modeling,"['shima mohebbi', 'md tanvir arafin', 'david kepplinger', 'david lattanzi', 'shanjiang zhu', 'filipe veiga', 'kenneth pasiah', 'gregory stein', 'omoche cheche agada', 'hoda hassan']","[0.07502485610105729, 0.05892556509887897, 0.04504915855996573, 0.04327423224079155, 0.042766686606638946, 0.042570057120940065, 0.04113450348948636, 0.03946685189819292, 0.020904908186302164, 0.020632815353005762]"
424,sensorimotor integration,"['david lattanzi', 'david binning', 'filipe veiga', 'gregory stein', 'jyh ming lien', 'peggy brouse', 'shima mohebbi', 'kenneth pasiah', 'sean luke', 'pilgyu kang']","[0.07495316889958614, 0.05716619504750294, 0.036866750907288734, 0.034179296351233165, 0.029934217004462485, 0.02721655269759087, 0.025989372519515015, 0.023749016662636548, 0.023570226039551584, 0.023002185311411807]"
425,assistive technology,"['omoche cheche agada', 'hoda hassan', 'mohamed ibrahem', 'pilgyu kang', 'zoran duric', 'shima mohebbi', 'ilhan izmirli', 'maryam parsa', 'quentin sanders', 'jill nelson']","[0.12457443268153949, 0.08942036680197918, 0.08846517369293828, 0.08633316946034314, 0.08178608201095308, 0.08128738173926571, 0.08067664895780352, 0.07744030926623663, 0.07703478906266646, 0.07476671794188403]"
426,biomedical imaging,"['zoran duric', 'ilhan izmirli', 'david kepplinger', 'omoche cheche agada', 'david lattanzi', 'nora mcdonald', 'quentin sanders', 'shima mohebbi', 'david binning', 'robert simon']","[0.2288021576612147, 0.20635286200910313, 0.1950685786602176, 0.18104181553118948, 0.17489072743236767, 0.16963778593599418, 0.15833394419077784, 0.1559362351170901, 0.15244318679334118, 0.14213381090374028]"
427,neuroprosthetics,"['giacomo francisci', 'jason goldberg', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka', 'erion plaku', 'fang yi yu', 'haikun huang', 'lannan lisa luo', 'maha shamseddine']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
428,cs education,"['peggy brouse', 'pei dong', 'mohamed ibrahem', 'shima mohebbi', 'nathalia peixoto', 'omoche cheche agada', 'maryam parsa', 'shanjiang zhu', 'sara lynn gopalkrishna', 'sai manoj pudukotai dinakarrao']","[0.09245003270420485, 0.08991427647725281, 0.08807048459279791, 0.08386743346167522, 0.08006407690254355, 0.0799459010788652, 0.07884696253709625, 0.07548513560963971, 0.07339207049399826, 0.0707434372948938]"
429,type theory,"['peggy brouse', 'shima mohebbi', 'ilhan izmirli', 'gregory stein', 'david binning', 'kenneth pasiah', 'mohamed ibrahem', 'pilgyu kang', 'zoran duric', 'kuochu chang']","[0.08660254037844387, 0.0689147308024964, 0.061557261206015554, 0.06042103056535397, 0.050528255215902707, 0.03778445413949088, 0.0375, 0.03659625273556999, 0.03466876226407682, 0.03338333222509757]"
430,transportation systems,"['shanjiang zhu', 'md tanvir arafin', 'gregory stein', 'david lattanzi', 'pei dong', 'kenneth pasiah', 'pilgyu kang', 'sai manoj pudukotai dinakarrao', 'maryam parsa', 'peggy brouse']","[0.09601761835756589, 0.07782160079558631, 0.07297211359952457, 0.06858150659451082, 0.06520732960932836, 0.06519043958143105, 0.0631404067412869, 0.05822632916196263, 0.056636547178859895, 0.04980582450917523]"
431,bayesian optimization,"['pilgyu kang', 'nathalia peixoto', 'maryam parsa', 'paulo costa', 'zhi tian', 'shanjiang zhu', 'kenneth pasiah', 'jill nelson', 'david binning', 'gregory stein']","[0.06172133998483676, 0.042163702135578386, 0.04152273992686998, 0.03486840218772033, 0.03403382373905639, 0.03312693299999688, 0.03186264939385831, 0.02672612419124244, 0.025565499628245683, 0.015285446012893576]"
432,particle filtering,"['jyh ming lien', 'peggy brouse', 'david lattanzi', 'kenneth pasiah', 'sean luke', 'gregory stein', 'david binning', 'filipe veiga', 'giacomo francisci', 'david kepplinger']","[0.03666177875533833, 0.03333333333333334, 0.03059950306810523, 0.029086486358157512, 0.02886751345948129, 0.027907278609297384, 0.023338001400466834, 0.022576182049286547, 0.0, 0.0]"
433,vlsi,"['giacomo francisci', 'jason goldberg', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka', 'erion plaku', 'fang yi yu', 'haikun huang', 'lannan lisa luo', 'maha shamseddine']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
434,digital health d health,"['kenneth pasiah', 'filipe veiga', 'hoda hassan', 'nathalia peixoto', 'sara lynn gopalkrishna', 'david binning', 'quentin sanders', 'md tanvir arafin', 'maryam parsa', 'ilhan izmirli']","[0.08639973900406264, 0.05364900284614841, 0.039003822561925784, 0.034299717028501764, 0.028583097523751475, 0.0277296776935901, 0.02560108141251878, 0.02475368857441686, 0.022518867455552247, 0.01876797013703025]"
435,gpu computing,"['lap fai craig yu', 'omoche cheche agada', 'hoda hassan', 'shima mohebbi', 'nora mcdonald', 'robert simon', 'quentin sanders', 'ilhan izmirli', 'md tanvir arafin', 'zoran duric']","[0.16984155512168939, 0.10544512713012867, 0.1040726808537592, 0.0973100927453325, 0.09409811314590939, 0.08869685939836239, 0.08782786991173896, 0.08584797978606536, 0.08492077756084469, 0.08158924398306319]"
436,systems network security,"['peggy brouse', 'mohamed ibrahem', 'md tanvir arafin', 'shima mohebbi', 'pilgyu kang', 'maryam parsa', 'filipe veiga', 'kuochu chang', 'sai manoj pudukotai dinakarrao', 'david binning']","[0.1616580753730952, 0.13, 0.1299038105676658, 0.12128992621239368, 0.10734900802433865, 0.09847982464479191, 0.093847426440693, 0.08011999734023416, 0.07854091098781055, 0.0727606875108999]"
437,cognitive assistants,"['zhi tian', 'maryam parsa', 'shima mohebbi', 'ilhan izmirli', 'giacomo francisci', 'david kepplinger', 'jason goldberg', 'kenneth pasiah', 'saad karamat', 'ana gonzalez hernandez']","[0.02536731447159205, 0.023211917272131483, 0.019492029389636262, 0.01934558081335342, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
438,knowledge acquisition,"['hoda hassan', 'mohamed ibrahem', 'filipe veiga', 'paulo costa', 'zhi tian', 'gregory stein', 'wenying ji', 'kuochu chang', 'maryam parsa', 'shima mohebbi']","[0.042051713353118005, 0.04160251471689219, 0.03253574116367823, 0.03058161175916288, 0.014924819019010674, 0.013406223004292969, 0.01307440900921227, 0.010581566249093505, 0.009104463009115372, 0.00764540293979072]"
439,science evidence,"['ilhan izmirli', 'david lattanzi', 'zoran duric', 'david kepplinger', 'david binning', 'nora mcdonald', 'kenneth pasiah', 'pilgyu kang', 'shanjiang zhu', 'shima mohebbi']","[0.17327229080211787, 0.158999682000954, 0.1386750490563073, 0.13793431476706133, 0.1347420139090739, 0.11995202878081343, 0.11755163510063832, 0.11385500851066223, 0.11348627352376689, 0.11026356928399425]"
440,predictive analytics,"['gregory stein', 'david lattanzi', 'ilhan izmirli', 'zhi tian', 'giacomo francisci', 'david kepplinger', 'jason goldberg', 'kenneth pasiah', 'saad karamat', 'ana gonzalez hernandez']","[0.041860917913946076, 0.03059950306810523, 0.015795600590164088, 0.010356162766686668, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
441,knowledge engineering,"['pilgyu kang', 'md tanvir arafin', 'david kepplinger', 'ilhan izmirli', 'paulo costa', 'david binning', 'filipe veiga', 'shima mohebbi', 'omoche cheche agada', 'jyh ming lien']","[0.07968190728895957, 0.07856742013183862, 0.0675737378399486, 0.06701505774131554, 0.06001988488084583, 0.05500819683203747, 0.05321257140117508, 0.0525173992707401, 0.05226227046575541, 0.05184758473652126]"
442,semantic web,"['lap fai craig yu', 'mohamed ibrahem', 'zhi tian', 'kuochu chang', 'peggy brouse', 'robert simon', 'shima mohebbi', 'md tanvir arafin', 'zoran duric', 'hoda hassan']","[0.20412414523193154, 0.12374368670764582, 0.1014692578863682, 0.08767787078131671, 0.08164965809277261, 0.0799502686333539, 0.07796811755854505, 0.07654655446197432, 0.07354355067681902, 0.06700703342736217]"
443,engineering design,"['md tanvir arafin', 'david lattanzi', 'pilgyu kang', 'david kepplinger', 'ilhan izmirli', 'lap fai craig yu', 'david binning', 'kenneth pasiah', 'gregory stein', 'shima mohebbi']","[0.20790185202789407, 0.16875228699642741, 0.14796558720615843, 0.14430347315088204, 0.1368882219125107, 0.13130643285972257, 0.11644832913087934, 0.11457728304337933, 0.11359656135528762, 0.11284730480550093]"
444,smart manufacturing,"['david lattanzi', 'hoda hassan', 'quentin sanders', 'mohamed ibrahem', 'gregory stein', 'pei dong', 'paulo costa', 'filipe veiga', 'zoran duric', 'peggy brouse']","[0.07990034651257413, 0.034286274066187075, 0.03375691032488308, 0.030151134457776358, 0.02914820186645445, 0.02604661305353116, 0.02493428777457038, 0.023580053109413426, 0.02090605025017727, 0.017407765595569783]"
445,obsolescence,"['kenneth pasiah', 'gregory stein', 'wenying ji', 'sai manoj pudukotai dinakarrao', 'giacomo francisci', 'david kepplinger', 'ilhan izmirli', 'jason goldberg', 'saad karamat', 'ana gonzalez hernandez']","[0.058172972716315025, 0.027907278609297384, 0.027216552697590872, 0.014170505031628394, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
446,knowledge information engineering,"['ilhan izmirli', 'paulo costa', 'david kepplinger', 'zhi tian', 'pilgyu kang', 'md tanvir arafin', 'shima mohebbi', 'mohamed ibrahem', 'kuochu chang', 'omoche cheche agada']","[0.08673761991802317, 0.0811517896820008, 0.07496633127898335, 0.07311638219992388, 0.06629935441317958, 0.06537204504606135, 0.06242445360153908, 0.05661385170722979, 0.05615878231109295, 0.05218180502855494]"
447,product families platforms,"['lap fai craig yu', 'shima mohebbi', 'zoran duric', 'pilgyu kang', 'filipe veiga', 'peggy brouse', 'md tanvir arafin', 'david lattanzi', 'omoche cheche agada', 'jyh ming lien']","[0.10660035817780524, 0.07464878929128396, 0.0682788741998919, 0.060062497513037265, 0.05775909822579078, 0.05685352436149613, 0.053300179088902624, 0.05219068779396587, 0.04727300231644998, 0.04689790496105419]"
448,geotechnical geoenvironmental,"['giacomo francisci', 'jason goldberg', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka', 'erion plaku', 'fang yi yu', 'haikun huang', 'lannan lisa luo', 'maha shamseddine']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
449,usable security privacy,"['mohamed ibrahem', 'peggy brouse', 'filipe veiga', 'kenneth pasiah', 'david lattanzi', 'david binning', 'sean luke', 'maryam parsa', 'quentin sanders', 'pei dong']","[0.1386750490563073, 0.112089707663561, 0.09760722349103469, 0.08383617650175504, 0.05879810320378548, 0.05605606616635938, 0.05547001962252292, 0.05462677805469223, 0.05175306865980047, 0.047918798518276025]"
450,network systems security,"['peggy brouse', 'mohamed ibrahem', 'md tanvir arafin', 'shima mohebbi', 'pilgyu kang', 'maryam parsa', 'filipe veiga', 'kuochu chang', 'sai manoj pudukotai dinakarrao', 'david binning']","[0.1616580753730952, 0.13, 0.1299038105676658, 0.12128992621239368, 0.10734900802433865, 0.09847982464479191, 0.093847426440693, 0.08011999734023416, 0.07854091098781055, 0.0727606875108999]"
451,internet measurements,"['lap fai craig yu', 'mohamed ibrahem', 'robert simon', 'zhi tian', 'hoda hassan', 'kuochu chang', 'md tanvir arafin', 'zoran duric', 'kenneth pasiah', 'filipe veiga']","[0.23145502494313788, 0.13363062095621217, 0.12087344460380703, 0.11505532375097557, 0.10130511230913847, 0.09176987139073335, 0.07715167498104596, 0.07412493166611012, 0.06732213425535584, 0.05225370779338438]"
452,big data analytics  characterization,"['kenneth pasiah', 'kuochu chang', 'zoran duric', 'david kepplinger', 'ilhan izmirli', 'robert simon', 'david binning', 'nora mcdonald', 'paulo costa', 'omoche cheche agada']","[0.22303854575700816, 0.14477810155529852, 0.13155870289605437, 0.1308559806475534, 0.12112249453604698, 0.11918282365569903, 0.11504474832710557, 0.11379648627163223, 0.11332230711009109, 0.10930188770038354]"
453,biochemistry,"['nathalia peixoto', 'wenying ji', 'filipe veiga', 'paulo costa', 'shima mohebbi', 'gregory stein', 'giacomo francisci', 'david kepplinger', 'ilhan izmirli', 'jason goldberg']","[0.035634832254989916, 0.02519763153394848, 0.020901483117353754, 0.014734589232268476, 0.014734589232268476, 0.012918559733220045, 0.0, 0.0, 0.0, 0.0]"
