names,ProfileLinks,topics,citations,titles
Kristina M. Volgenau,https://scholar.google.com//citations?hl=en&user=75H5ZeEAAAAJ,,24,"Clinical Psychology PhD Student, Department of Psychology, George Mason University"
Qiyang Song,https://scholar.google.com//citations?hl=en&user=Tn7dvoMFbuMC,"Data Privacy, System Security",24,George Mason University; Tsinghua University
Md Nishat Raihan,https://scholar.google.com//citations?hl=en&user=pufsZewAAAAJ,"Computer Vision, Machine Learning, Data Mining",24,"CS PhD Student, George Mason University"
Zhirui Hu,https://scholar.google.com//citations?hl=en&user=N6JrW54AAAAJ,"Quantum Computing, Machine Learning",24,George Mason University
Sunil Kumar Rajendran,https://scholar.google.com//citations?hl=en&user=aKYLSvMAAAAJ,"Bio-inspired soft robotics, Learning-based control, Underwater robots, Artificial muscles, Reinforcement learning",23,George Mason University
Raihan Islam Arnob,https://scholar.google.com//citations?hl=en&user=Oh3lnZ8AAAAJ,"Machine Learning, Artificial Intelligence, Robotics, Planning",23,"GRA, CS, George Mason University"
Tianshu Feng,https://scholar.google.com//citations?hl=en&user=Kg8wOK8AAAAJ,,22,George Mason University
Huong Dang,https://scholar.google.com//citations?hl=en&user=3VVfcLUAAAAJ,"Natural Language Processing, Machine Learning",22,George Mason University
Behnam Momeni,https://scholar.google.com//citations?hl=en&user=Hr92U5UAAAAJ,Optimization,22,"Systems Engineering and Operations Research department, George Mason University"
Kesina Baral,https://scholar.google.com//citations?hl=en&user=k4HGdg8AAAAJ,"Software testing, software engineering",22,George Mason University
Amanda C. Borth,https://scholar.google.com//citations?hl=en&user=M-6aglUAAAAJ,"Climate Change, Communication, Carbon Removal, Deliberation",22,"Department of Communication, George Mason University"
Daniel Sponseller,https://scholar.google.com//citations?hl=en&user=HmGhAm4AAAAJ,Department of Computational and Data …,21,George Mason University
Atabak Mardan,https://scholar.google.com//citations?hl=en&user=6oyskuoAAAAJ,"Transportation Systems, Travel Behavior, Toll and Revenue",21,George Mason University
Abhishek Ray,https://scholar.google.com//citations?hl=en&user=Vx-_ifQAAAAJ,"Game Theory, Machine Learning, Artificial Intelligence",21,"Assistant Professor of Information Systems & Operations Management, George Mason …"
Omid Hashemi-Amiri,https://scholar.google.com//citations?hl=en&user=ueV7YLAAAAAJ,"Operations Research, Mathematical Programming, Supply Chain Management, Transportation",21,"Department of Systems Engineering and Operations Research, George Mason University …"
Rick Hess,https://scholar.google.com//citations?hl=en&user=-dWMeL0AAAAJ,"Learning Analytics, Big Data, Assessment, Student Success",21,George Mason University
Nicholas Gazzia,https://scholar.google.com//citations?hl=en&user=8G_HNWwAAAAJ,"social robotics, human-robot interactions, social cognitive neuroscience",21,George Mason University
Priya Anna Mani,https://scholar.google.com//citations?hl=en&user=GYBakMUAAAAJ,,21,George Mason University
Nate S. Brophy,https://scholar.google.com//citations?hl=en&user=gtUoTcYAAAAJ,"Communication, Health Communication, Instructional Communication, Quantitative Research Methods",21,George Mason University
Alexandra Raines,https://scholar.google.com//citations?hl=en&user=5ATtYDMAAAAJ,Special Education,21,George Mason University
Mehrdad Ghyabi,https://scholar.google.com//citations?hl=en&user=wD5ubeUAAAAJ,"Structural Health Monitoring, Smart Cities, Machine Vision, Artificial Intelligence, Deep Learning",21,George Mason University
Ahsan Habib Chowdhury,https://scholar.google.com//citations?hl=en&user=IYRldF4AAAAJ,Undergraduate Mathematics Education,21,George Mason University
Kevin Ramseur II,https://scholar.google.com//citations?hl=en&user=N11T7iMAAAAJ,"Clinical Psychology, Racism, Public Health",20,George Mason University
Hossein Najaf,https://scholar.google.com//citations?hl=en&user=YcIKJtwAAAAJ,"MEMS/NEMS, Nano-Bio Sensors, Mechanics of Materials, Nanotechnology",20,George Mason University
Margaret Webb,https://scholar.google.com//citations?hl=en&user=6A5cmo8AAAAJ,"clinical psychology, cognitive psychology, criminology",20,George Mason University
Tong Steven Sun,https://scholar.google.com//citations?hl=en&user=Btg0rCAAAAAJ,"Human-Computer Interaction, Machine Learning, Data Mining",20,George Mason University
Courtney Hayes,https://scholar.google.com//citations?hl=en&user=Qv4mOxIAAAAJ,"literacy, international education, teacher education, multicultural children's literature",20,George Mason University
Adib Sarkar,https://scholar.google.com//citations?hl=en&user=fIKAdY4AAAAJ,Cyber Security,20,George Mason University
Binal Brahmbhatt,https://scholar.google.com//citations?hl=en&user=ecaBm5QAAAAJ,Biomedical Imaging,19,George Mason University
Joshua D Ammons,https://scholar.google.com//citations?hl=en&user=56mlnG8AAAAJ,"Public Choice, Austrian Economics, Bloomington, Defense and Peace Economics, Development",19,George Mason University
Sohyun Park,https://scholar.google.com//citations?hl=en&user=wY4rzjUAAAAJ,"Economic Geography, Land Use Science, Spatial Analytics",19,"Assistant Professor, George Mason University"
Quentin Sanders,https://scholar.google.com//citations?hl=en&user=I2-zlasAAAAJ,"Soft Robotics, Rehabilitation Robotics, Prosthetics",19,George Mason University
David Zeglen,https://scholar.google.com//citations?hl=en&user=V5Q_W4UAAAAJ,,19,George Mason University
Zahra Taghizadeh,https://scholar.google.com//citations?hl=en&user=B2JoWwIAAAAJ,"Signal processing, Image Processing, Prosthetic Devices",19,George Mason University
Randy Price,https://scholar.google.com//citations?hl=en&user=x1ywHaMAAAAJ,"partial differential equations, data assimilation, machine learning, numerical analysis",19,"Postdoc, George Mason University"
Christopher D. Berk,https://scholar.google.com//citations?hl=en&user=NIm7HZkAAAAJ,Political Science,18,George Mason University
Erik Seglem,https://scholar.google.com//citations?hl=en&user=fQJPVMAAAAAJ,,18,George Mason University
Daniel Y. Rothschild,https://scholar.google.com//citations?hl=en&user=AAqVwG4AAAAJ,,18,George Mason University
Jessica Pope,https://scholar.google.com//citations?hl=en&user=wEbLHVkAAAAJ,"Fall Prevention, Quality of Life, Public Health, Knowledge Translation, Community Outreach",18,"PhD Student, George Mason University"
Santos Jha,https://scholar.google.com//citations?hl=en&user=-Ur_n70AAAAJ,"Security, transportation security, autonomous vehicle",18,George Mason University
Catyana Falsetti,https://scholar.google.com//citations?hl=en&user=bhcMr3oAAAAJ,sustianaiblity,18,George Mason University
Mariam Namawejje,https://scholar.google.com//citations?hl=en&user=QMakX0kAAAAJ,,18,George Mason University
David D. Prentiss,https://scholar.google.com//citations?hl=en&user=K3gQ3esAAAAJ,,17,George Mason University
Tawnya (Ravy) Azar,https://scholar.google.com//citations?hl=en&user=Ad9JiwkAAAAJ,"Digital Literacy, Digital Pedagogy, Literature, Postcolonial, Digital Humanities",17,George Mason University
immanuel Johnson john samuel,https://scholar.google.com//citations?hl=en&user=Rswx0oIAAAAJ,"BIM, AR, Simulation, construction management, construction materials",17,George Mason University
James Vizzard,https://scholar.google.com//citations?hl=en&user=fudoUyAAAAAJ,"civil-military relations, counterinsurgency, conflict termination, strategy formulation",17,"PhD student, George Mason University Schar School of Policy and Government"
Weiwei Tasch,https://scholar.google.com//citations?hl=en&user=5LQbi8IAAAAJ,,17,George Mason University
Rachel Jensen,https://scholar.google.com//citations?hl=en&user=jA9qO4IAAAAJ,"mental health and police, developmental disorders and police, intersection of psychology and law, evidence-based practices",17,George Mason University
Jixuan Zhi,https://scholar.google.com//citations?hl=en&user=-YLHCtAAAAAJ,"motion planning, robotics, reinforcement learning, computational design, virtual reality",17,George Mason University
Roberto López Jr.,https://scholar.google.com//citations?hl=en&user=S-mBIN0AAAAJ,"suicide, self-injury, adolescence, LGBTQ+",17,"Department of Psychology, George Mason University"
William Cooper,https://scholar.google.com//citations?hl=en&user=YlQbfsYAAAAJ,"Wildlife Ecology, Remote Sensing",17,George Mason University
Fatemeh Janatabadi,https://scholar.google.com//citations?hl=en&user=eU-Nq4UAAAAJ,Transport Geography,17,"Graduate Research Assistant, George Mason University"
Huayu Zhou,https://scholar.google.com//citations?hl=en&user=vT40WWAAAAAJ,"NLP, MachineTranslation, MachineLearning, DataScience",17,George Mason University
Leila Saberi,https://scholar.google.com//citations?hl=en&user=YgYAQuEAAAAJ,"Corrosion, Additive Manufacturing, Reliability and mechanics of Failure, Vibration",17,George Mason University
Moheb Jabarkhail,https://scholar.google.com//citations?hl=en&user=1FVdvrYAAAAJ,"Human Security, Global Development, Governance",17,George Mason University
Kevin E Cevasco,https://scholar.google.com//citations?hl=en&user=4YmI6OEAAAAJ,"Epidemiology, infectious disease, informatics, public health infrastructure",17,"Presidential Scholar, George Mason University"
Yu-Lin Hsu,https://scholar.google.com//citations?hl=en&user=7efC6aUAAAAJ,"spatial-temporal statistics, bayesian statistics, data visualization, data analysis",17,George Mason University
Cecilia B. Barriga Bahamonde,https://scholar.google.com//citations?hl=en&user=QOe_0-MAAAAJ,"Biodiversity conservation, environmental science and policy, ecosystem services, Amazon forest",17,"Ph.D. Candidate, George Mason University"
DONG LI,https://scholar.google.com//citations?hl=en&user=GSovXD4AAAAJ,"Geosynthetic clay liner (GCL), Modified Bentonite, Molecular Dynamics",17,"Ph.D. Candidate of Geotechnical Engineering, George Mason University"
John H. Powell,https://scholar.google.com//citations?hl=en&user=YwtdZIEAAAAJ,"hyperspectral, remote sensing, atmopheric physics, meteorology",16,George Mason University
Ismail Hossain,https://scholar.google.com//citations?hl=en&user=qz6cpycAAAAJ,"Data Science, Data Mining",16,"Graduate Teaching Assistant, George Mason University"
Shea Fyffe,https://scholar.google.com//citations?hl=en&user=On888BsAAAAJ,"applied psychometrics, noncognitive assessment, game-based assessment, personality, natural language processing",16,"Doctoral Candidate (ABD), George Mason University"
Michelle Lague,https://scholar.google.com//citations?hl=en&user=KEnENG8AAAAJ,"Education, teaching, adolescent literacy, English instruction, secondary education",16,George Mason University
Elaine Russell,https://scholar.google.com//citations?hl=en&user=vvdDpSgAAAAJ,"Diabetes, inflammation, autoimmune disorders",16,"Adjunct faculty, George Mason University"
Lauren N. McCarthy,https://scholar.google.com//citations?hl=en&user=EH8wTjsAAAAJ,"Public-Private Partnerships, Emerging Technologies, Smart Cities",15,George Mason University
Lisa Schreffler,https://scholar.google.com//citations?hl=en&user=dZCPxeIAAAAJ,"Conservation Biology, Bioacoustics, Foraging Ecology, Thermoregulation",15,George Mason University
Xiaowen Fang,https://scholar.google.com//citations?hl=en&user=J82ByKsAAAAJ,"Machine Learning, Computer Vision",15,George Mason University
Niloofar Kalantari,https://scholar.google.com//citations?hl=en&user=GC2UXt8AAAAJ,"HCI, Social Computing",15,George Mason University
Abhishek Paudel,https://scholar.google.com//citations?hl=en&user=ytDltfUAAAAJ,"Machine Learning, Robotics, Planning under Uncertainty",15,"CS Grad Student, George Mason University"
Rajendra Paudyal,https://scholar.google.com//citations?hl=en&user=TQTXsrMAAAAJ,"Computer Networks, Next Generation Network, Security, Cybersecurity & Wireless Communication",15,George Mason University
Arnab Debnath,https://scholar.google.com//citations?hl=en&user=9horFbwAAAAJ,"Computer Vision, Robotics",15,George Mason University
Tugkan Tanir,https://scholar.google.com//citations?hl=en&user=woRv_4sAAAAJ,"Water Resources, Risk Assessment, Flood Vulnerability",15,George Mason University
Matthew Willis,https://scholar.google.com//citations?hl=en&user=KKyalxoAAAAJ,Computational Sociology,15,George Mason University
Temiloluwa Fuwape,https://scholar.google.com//citations?hl=en&user=zKC7GhUAAAAJ,Public Health,15,George Mason University
Zhenlong Jiang,https://scholar.google.com//citations?hl=en&user=2iZ_j3kAAAAJ,Distributionally robust optimization,15,George Mason University
Nicole Stucke,https://scholar.google.com//citations?hl=en&user=FPoWwLoAAAAJ,"executive function, social cognition, cognitive control, meta-analysis, self-awareness",15,"PhD Student, George Mason University"
Clarence W. Dillon,https://scholar.google.com//citations?hl=en&user=J6Vk2JkAAAAJ,"International Relations, Conflict Analysis, Computational Social Science, Critical Realism",14,George Mason University
Hardik Patel,https://scholar.google.com//citations?hl=en&user=wURTZ58AAAAJ,"Graph Data, Search Algorithms, Machine Learning, Deep Learning, Cognitive Systems",14,George Mason University
Yongxin Wang,https://scholar.google.com//citations?hl=en&user=r_6G7YIAAAAJ,"computer vision, safety analysis, autonomous driving",14,George Mason University
Md Rashedur Rahman,https://scholar.google.com//citations?hl=en&user=V_BsahgAAAAJ,"IoT, Cyber-security, Machine Learning, Wireless Network",14,Ph.D. Student in George Mason University
Cheyu Zhang,https://scholar.google.com//citations?hl=en&user=eKX2QQwAAAAJ,"HIV prevention, Sexual minority health, Intimate partner violence, PMTCT",14,"George Mason University, The George Washington University"
Morgan Bragg,https://scholar.google.com//citations?hl=en&user=8pVvw7oAAAAJ,"Biology, Canid Conservation, Microbial Ecology",14,George Mason University/Smithsonian Conservation Biology Institute
Saadat Hasan Khan,https://scholar.google.com//citations?hl=en&user=rJOY1YoAAAAJ,"Machine Learning, Deep Learning, Computer Vision",14,George Mason University
Jahnavi Jonnalagadda,https://scholar.google.com//citations?hl=en&user=Plc7UtgAAAAJ,"Spatial-Temporal Data Prediction, Machine Learning",14,George Mason University
Olugbemi M. Aroke,https://scholar.google.com//citations?hl=en&user=dZ1ngUgAAAAJ,"Smart Construction Safety, Wearable sensors, Hazard Identification, Transportation Safety",14,George Mason University
Eugenio Garza,https://scholar.google.com//citations?hl=en&user=Z3DrjxIAAAAJ,"Markets and Morality, Development, Culture and Institutions, Poverty and Inequality, Economic Sociology",14,George Mason University
Earl A Jones,https://scholar.google.com//citations?hl=en&user=yOIwbFMAAAAJ,"Higher Education Marketing, Intrusive & Pro Active Academic Advising",14,George Mason University
Zhiyan Gao,https://scholar.google.com//citations?hl=en&user=gLdEBQoAAAAJ,Linguistics,13,ByteDance Ltd | George Mason University|
CJ Carroll Schlick,https://scholar.google.com//citations?hl=en&user=fBj2VFcAAAAJ,"Fish Ecology, Anadromous, Fisheries Management",13,George Mason University
Alison Gomeiz,https://scholar.google.com//citations?hl=en&user=IiCFj7gAAAAJ,"molecular biology, oncology, biophysics",13,George Mason University
Sasha Stoddard,https://scholar.google.com//citations?hl=en&user=ptvcPgkAAAAJ,,13,George Mason University
Bader A. Alharbi,https://scholar.google.com//citations?hl=en&user=1kiTne0AAAAJ,"Bioinformatics, Computational Biology",12,"KAIMRC-NGHA, George Mason University"
Stephanie Grimm,https://scholar.google.com//citations?hl=en&user=rkIjaN0AAAAJ,"Library Science, Preservation, Illustration",12,George Mason University
Hussain Almalki,https://scholar.google.com//citations?hl=en&user=SxU889IAAAAJ,"phonetics, phonology, prosody, second language acquisition",12,George Mason University
Bryan Hoyle,https://scholar.google.com//citations?hl=en&user=y38yWw4AAAAJ,"Artificial intelligence, Programming Languages, Machine Learning",12,"Graduate Student CS, George Mason University; Senior Research Scientist at Two Six Labs"
Angela Ammerman,https://scholar.google.com//citations?hl=en&user=Szctf5sAAAAJ,"Music Education, Recruiting Music Students, Music Students from Underserved …",12,George Mason University
Oleksandra (Sasha) Snisarevska Donnelly,https://scholar.google.com//citations?hl=en&user=P0VBumkAAAAJ,"aviation, systems engineering, machine learning, modeling, simulation",12,"PhD Student, George Mason University"
Sherry Chhabra,https://scholar.google.com//citations?hl=en&user=f0o1fdEAAAAJ,solar physics,12,Naval  Research Lab/George Mason Univeristy
Jordan A Sims,https://scholar.google.com//citations?hl=en&user=16zErTgAAAAJ,"Coral Reef Ecology, Microbial Ecology, Disease, Biofilms",12,"PhD Student in Environmental Science and Policy, George Mason University"
Onic Islam Shuvo,https://scholar.google.com//citations?hl=en&user=u0hZoc8AAAAJ,Radio Astronomy,12,"Graduate Research Assistant, George Mason University"
Hieu-Trung Le,https://scholar.google.com//citations?hl=en&user=B2Q-LWkAAAAJ,,12,George Mason University
Martin Henke,https://scholar.google.com//citations?hl=en&user=h0N9waMAAAAJ,"Coastal Flooding, Wave Modeling, Coastal Hazards",12,"PhD Research Assisstant, George Mason University"
yuanjie lu,https://scholar.google.com//citations?hl=en&user=Lo_V33oAAAAJ,"Aritificial Intelligence, Machine Learning, Robotics, Motion Planning",12,George Mason University
Keith DeGregory,https://scholar.google.com//citations?hl=en&user=5DfwjwkAAAAJ,"Optimization, Linear Programming",11,"United States Military Academy, MIT, George Mason University"
Jordan F. Higgins,https://scholar.google.com//citations?hl=en&user=Mua_JYEAAAAJ,"Human Factors, Human-Computer Interaction, User Experience Design, Cognitive Bias",11,George Mason University
Denise Wanda Nazaire,https://scholar.google.com//citations?hl=en&user=JgXfXzgAAAAJ,"Police-Community Relations, Police, Crime Policy, Higher Education",11,George Mason University
Benjamin J. Mackey,https://scholar.google.com//citations?hl=en&user=RiZLHhcAAAAJ,Criminology,11,George Mason University
Raghul Saravanan,https://scholar.google.com//citations?hl=en&user=3ennSKsAAAAJ,,11,George Mason University
Taylor N. Hartwell,https://scholar.google.com//citations?hl=en&user=9QQ3ghYAAAAJ,Criminology,11,George Mason University
Ridwana Binte Sharif,https://scholar.google.com//citations?hl=en&user=PRha3-QAAAAJ,Remote Sensing Precipitation,11,George Mason University
Md. Mahbub Hasan,https://scholar.google.com//citations?hl=en&user=JBBWul8AAAAJ,"IoT, Neural Networks, Embedded System, Robotics, Renewable Energy.",11,Doctoral student at George Mason University
Khadija Tul Kobra,https://scholar.google.com//citations?hl=en&user=TuZuBbcAAAAJ,"Deep Learning, NLP, ML",11,George Mason University
Megan G. Stutesman,https://scholar.google.com//citations?hl=en&user=J1gVLHIAAAAJ,"social cognition, dance, psychology of the arts, developmental science, embodied cognition",11,"PhD Candidate, George Mason University"
Zachary Messegee,https://scholar.google.com//citations?hl=en&user=Jj4gSpcAAAAJ,"Multiferroic materials, Polar metallic oxides, Intermetallics",11,George Mason University
Cynthia B. Smith,https://scholar.google.com//citations?hl=en&user=nv-r59gAAAAJ,"Science Communication, Environmental Science and Policy, K12 Outreach, Watershed Ecology",11,George Mason University
Todd S. Bixby,https://scholar.google.com//citations?hl=en&user=O-KXe2QAAAAJ,"Public Health, Global Health, Epidemiology, Medical Diagnostics, Biosurveillance",10,"MPH Epidemiology Program, George Mason University"
Mehmet Erhan Uyar,https://scholar.google.com//citations?hl=en&user=DpU9LsYAAAAJ,,10,George Mason University
Penny Potter,https://scholar.google.com//citations?hl=en&user=S_YdQ4UAAAAJ,"coaching, coach education, adult education",10,George Mason University
Majid alDosari,https://scholar.google.com//citations?hl=en&user=7Uh53isAAAAJ,,10,George Mason University
Michael Lyons,https://scholar.google.com//citations?hl=en&user=3VxBMOEAAAAJ,Cryptographic hardware,10,"Cryptographic Engineering Research Group, George Mason University"
Andrew Porter,https://scholar.google.com//citations?hl=en&user=6jbjJ_IAAAAJ,"Teacher Education, Educational Psychology",10,George Mason University
Mohamed Ahmed,https://scholar.google.com//citations?hl=en&user=_yBFJFIAAAAJ,"Environmental Science, Geoinformation Science, Climate Change, Human Geography, Health Geography",10,"Student, George Mason University"
Bikram Adhikari,https://scholar.google.com//citations?hl=en&user=Stxmr1UAAAAJ,"Human-Computer Interaction, Computer Vision",10,George Mason University
Nathan Burtch,https://scholar.google.com//citations?hl=en&user=_vWvxpwAAAAJ,"Geography, religion, urban",9,George Mason University
Dale K. Brearcliffe,https://scholar.google.com//citations?hl=en&user=IIBTk3kAAAAJ,Computational Social Science,9,George Mason University
mozhgan momtaz,https://scholar.google.com//citations?hl=en&user=LxBAPVsAAAAJ,"Structural health monitoring, computer vision, artificial intelligence, NDE, 3-D point cloud processing",9,George Mason University
Sevil Suleymani,https://scholar.google.com//citations?hl=en&user=aWdNcHUAAAAJ,"Sociology, Gender/Women's Studies",9,George Mason University
Manisha Tripathy,https://scholar.google.com//citations?hl=en&user=4CMGo0UAAAAJ,"Tribology, Additive Manufacturing, Nickel Superalloys",9,"PhD Candidate, George Mason University"
Samirah Alkassim,https://scholar.google.com//citations?hl=en&user=oOvN0B0AAAAJ,"Film Studies, Film Production, MENA Cinema and Media Studies",9,"Assistant Professor of Film Theory, George Mason University"
Yong Li,https://scholar.google.com//citations?hl=en&user=FVOKP_0AAAAJ,"Geometry Processing, Machine Learning, Compilers, Networks",9,George Mason University
Cherjanét D. Lenzy,https://scholar.google.com//citations?hl=en&user=Aw3WemEAAAAJ,,9,George Mason University
James Bartlett,https://scholar.google.com//citations?hl=en&user=8yqUv1sAAAAJ,Theoretical Condensed Matter,9,George Mason University
Nikita Lad,https://scholar.google.com//citations?hl=en&user=LDGY9L8AAAAJ,"environmental social science, sustainability, evaluation, policy, bioanalytical sciences",9,George Mason University
ME Hammer,https://scholar.google.com//citations?hl=en&user=Sj3Rcl8AAAAJ,,9,"PhD Student, George Mason University"
SM Hasan Mansur,https://scholar.google.com//citations?hl=en&user=4jYHGG0AAAAJ,"Software Engineering, HCI, Machine Learning",9,George Mason University
Negar Nejatishahidin,https://scholar.google.com//citations?hl=en&user=QUdDLg8AAAAJ,"Computer Vision, Robotics, 3D Understanding",9,George Mason University
Tasfia Mashiat,https://scholar.google.com//citations?hl=en&user=TcbXor4AAAAJ,"Algorithmic Fairness, Societal Resource Allocation",9,"Ph.D. Student, George Mason University"
Hesham Altaleb,https://scholar.google.com//citations?hl=en&user=SBGvZGcAAAAJ,"Decision Guidance, Optimization, Decision Support Systems.",8,"PhD Candidate, George Mason University"
Oluwagbemiga Temitope Dasylva,https://scholar.google.com//citations?hl=en&user=HrvybpgAAAAJ,"Conflict Resolution, Peace building, Post-conflict Reconstruction",8,Ph.D candidate at George Mason University
Sayed Aresh Beheshti-Shirazi,https://scholar.google.com//citations?hl=en&user=Bzb0qAIAAAAJ,"Process Variation, Machine Learning, Deep Learnin, Reinforcement Learning, Applied Machine Learning",8,"PhD Candidate, George Mason University"
Hugo Dante,https://scholar.google.com//citations?hl=en&user=7zrTc_QAAAAJ,"Economics, Banking, Finance",8,George Mason University
Zhenbang Wang,https://scholar.google.com//citations?hl=en&user=dzgYLUwAAAAJ,"high dimensional statistics, optimization, record linkage",8,George Mason University
Davis Kuykendall,https://scholar.google.com//citations?hl=en&user=MrdTecQAAAAJ,"Philosophy, Metaphysics, Early Modern Philosophy, Leibniz, Causation",8,"Assistant Professor, George Mason University"
Anne Safiya Clay,https://scholar.google.com//citations?hl=en&user=cTspDU4AAAAJ,"conservation biology, animal ethics, environmental ethics, bioethics, animal cognition",8,"PhD Candidate, George Mason University"
siqi wei,https://scholar.google.com//citations?hl=en&user=Oet9NoYAAAAJ,"Statistics, Data Visualizaiton",8,George Mason University
Jenelle Conaway,https://scholar.google.com//citations?hl=en&user=I5NjqGEAAAAJ,"audit, financial reporting, international accounting",8,George Mason University
Mallory Kisner,https://scholar.google.com//citations?hl=en&user=0uf1CJgAAAAJ,"developmental psychology, emotions, substance use disorders",8,George Mason University
Heejoo Cheon,https://scholar.google.com//citations?hl=en&user=amKqZDMAAAAJ,"Quantitative Analysis, Societal Research",8,George Mason University
James Kukucka,https://scholar.google.com//citations?hl=en&user=-hahUDQAAAAJ,,8,"PhD Student, George Mason University"
Al Jaber Mahmud,https://scholar.google.com//citations?hl=en&user=-7MoXFEAAAAJ,"Control Systems, Robotics, Optimization",8,George Mason University
Thomas Polk,https://scholar.google.com//citations?hl=en&user=luo6qGgAAAAJ,"Writing development, Writing Across the Curriculum, Mentoring, Assessment, Undergraduate research",8,"Director, Writing Across the Curriculum, George Mason University"
Mariia Petryk,https://scholar.google.com//citations?hl=en&user=JP24gn8AAAAJ,"digital and mobile platforms, emerging technology, blockchain, tokenomics",8,"Assistant Professor, George Mason University"
Ashley Blinstrub,https://scholar.google.com//citations?hl=en&user=ZRWBUtIAAAAJ,Libraries,7,"Librarian, George Mason University"
AI Fadahunsi,https://scholar.google.com//citations?hl=en&user=qcO9HIwAAAAJ,"Financial Mathematics, Insurance risk, Data science.",7,"Assistant Professor of Statistics, George Mason University"
Laura Mahan,https://scholar.google.com//citations?hl=en&user=D8_mKR0AAAAJ,"Gender, Disability, Conflict Resolution, Genocide Prevention, Action Research",7,George Mason University - School for Conflict Analysis and Resolution
Umed Partov,https://scholar.google.com//citations?hl=en&user=h1WaZ-sAAAAJ,"Global security & development, State-building, Global education development, P/CVE, Peacebuilding",7,"PhD, Carter School for Peace & Conflict Resolution, George Mason University"
Steven Zhou,https://scholar.google.com//citations?hl=en&user=2n2CiH4AAAAJ,"Leadership, Personality, Psychometrics, Education, Scientist-Practitioner Gap",7,"PhD Candidate, George Mason University"
Pattiya Mahapasuthanon,https://scholar.google.com//citations?hl=en&user=guTujDwAAAAJ,"Human-Computer Interaction, Cross-Cultural Computing, Participatory Design, Library Science",7,George Mason University
Hans Petry,https://scholar.google.com//citations?hl=en&user=-szjmo8AAAAJ,Operations Research,7,"SEOR Student, George Mason University"
Hossein Salemi,https://scholar.google.com//citations?hl=en&user=Hh0KaAQAAAAJ,"NLP, Crisis Informatics",7,"PhD Student, Information Technology, George Mason University"
Samson Omole,https://scholar.google.com//citations?hl=en&user=aOicb1UAAAAJ,,7,George Mason University
Amarachukwu Faith Orji,https://scholar.google.com//citations?hl=en&user=ZDHNKwMAAAAJ,"Health disparities, Cervical cancer, Epidemiology, Cancer health equity, Social inequality",7,George Mason University
Ibifubara Iganibo,https://scholar.google.com//citations?hl=en&user=KavpI_cAAAAJ,cyber security   attack surface reduction …,7,"Ph.D. Student, George Mason University"
Gabriela Bulancea,https://scholar.google.com//citations?hl=en&user=K74V_ngAAAAJ,"Functional Analysis, Complex Analysis, Banach Algebras, Uniform Algebras",7,"Term Associate Professor of Mathematics, George Mason University"
Anjishnu Mukherjee,https://scholar.google.com//citations?hl=en&user=3849YpIAAAAJ,"NLP, Explainability, Fairness, Healthcare",7,"PhD student, George Mason University"
Aayushi Hingle,https://scholar.google.com//citations?hl=en&user=c-qwraUAAAAJ,Communication Studies,7,George Mason University
"Tammie M. Jones, PhD",https://scholar.google.com//citations?hl=en&user=1MXUswcAAAAJ,"health services, health workforce, access to care, rural health",7,George Mason University
Yizhi Zhou,https://scholar.google.com//citations?hl=en&user=WhA65J4AAAAJ,"Multi-agent system, Control, Robotics",7,George mason university
Ahmed Bashatah,https://scholar.google.com//citations?hl=en&user=E6GWsYUAAAAJ,"Wearable Ultrasound, Prosthetics, Sensors",7,"Research Engineer, George Mason University"
Mary Zamon,https://scholar.google.com//citations?hl=en&user=vZgAZ6oAAAAJ,"Administration, Assessement, Institutional Effectiveness, Faculty Developement",6,"Higher education , George Mason Univerity"
Eric J. Hammer,https://scholar.google.com//citations?hl=en&user=nAeNJK8AAAAJ,,6,George Mason University
Alireza Akhavian,https://scholar.google.com//citations?hl=en&user=5-r3nTEAAAAJ,Neural Engineering,6,George Mason University
Soroor Aram,https://scholar.google.com//citations?hl=en&user=d3BN55wAAAAJ,Electrical and Computer Engineering,6,George mason university
Liza Ngenye,https://scholar.google.com//citations?hl=en&user=pewrIEkAAAAJ,health communication,6,George Mason University
Malik Altaf Hussain,https://scholar.google.com//citations?hl=en&user=HeXslZEAAAAJ,"Economic History, Growth and Development, Culture and Economics",6,"Department of Economics, George Mason University"
Obed Ligate,https://scholar.google.com//citations?hl=en&user=xspeIMIAAAAJ,Economic development and management,6,George Mason University
Wendy Mann,https://scholar.google.com//citations?hl=en&user=okUWs7kAAAAJ,"Library and Information Science, Data Science",6,George Mason University
sandra Tombe,https://scholar.google.com//citations?hl=en&user=8UBpI-IAAAAJ,"Network theory and methods, transnational mobilization, gender and political participation",6,"Doctoral Candidate, George Mason University"
Md. Mushfiqur Rahman,https://scholar.google.com//citations?hl=en&user=-g03AyEAAAAJ,"Computer Vision, Deep Learning, Machine Learning, Artificial Intelligence",6,"PhD student, George Mason University"
Lakia Faison,https://scholar.google.com//citations?hl=en&user=GeOhJqgAAAAJ,Psychology,6,George Mason University
Alexis Berger,https://scholar.google.com//citations?hl=en&user=wz5wNEcAAAAJ,Microbial Ecology,6,"PhD Student, Environmental Science and Policy, George Mason University"
Adam Kaiser,https://scholar.google.com//citations?hl=en&user=Q0WVWmMAAAAJ,"Institutional Economics, Economic History, Philosophy of Economics",6,George Mason University
