names,ProfileLinks,topics,citations,titles
Chao Luo,https://scholar.google.com//citations?hl=en&user=u6EgRE0AAAAJ,"Electrochemistry, Rechargeable batteries, Atomic layer deposition, Plasma-enhanced chemical vapor deposition, Organic materials",9999,"Assistant Professor, George Mason University"
Jeffrey Stuewig,https://scholar.google.com//citations?hl=en&user=3-AdJBMAAAAJ,"shame, guilt, crime, delinquency, evaluation",9928,George Mason University
Daniel Houser,https://scholar.google.com//citations?hl=en&user=Dy_XT9UAAAAJ,"Behavioral Economics, Behavioral Finance, Computational Social Science, Political Economy",9879,"Professor of Economics, George Mason University"
Connie Roser-Renouf,https://scholar.google.com//citations?hl=en&user=kz3WmlkAAAAJ,,9551,"Associate Research Professor, Center for Climate Change Communication, George Mason …"
Nada Dabbagh,https://scholar.google.com//citations?hl=en&user=pW9xOuUAAAAJ,"pedagogical ecology, PLEs, self-regulated learning, learning systems design",9434,"Professor of Learning Technologies, George Mason University"
Mark Sagoff,https://scholar.google.com//citations?hl=en&user=2AWZW_YAAAAJ,,9380,"Institute for Philosophy and Public Policy, George Mason University"
David J. Armor,https://scholar.google.com//citations?hl=en&user=IgtXnZEAAAAJ,"education, military manpower, social policy",9338,"Professor of Public Policy, George Mason University"
Carolyn Drews-Botsch,https://scholar.google.com//citations?hl=en&user=f99Fo_4AAAAJ,Epidemiology,9163,"Professor and Chair, Global and Community Health, George Mason University"
Kathryn B. Laskey,https://scholar.google.com//citations?hl=en&user=sgva3HcAAAAJ,"Artificial Intelligence, Probabilistic Inference, Decision Theory, Decision Support, Information Fusion",9145,"Professor of Systems Engineering and Operations Research, George Mason University"
Allison Redlich,https://scholar.google.com//citations?hl=en&user=uoeStiEAAAAJ,"Interrogations and confessions, guilty pleas, mental health courts",9118,"Professor of Criminology, Law and Society, George Mason University"
Liping Di,https://scholar.google.com//citations?hl=en&user=7U_hx20AAAAJ,"geoinformation science, agro-geoinformatics, remote sensing, global change, AI/machine learning",8997,"Professor of Geographic Information Science, George Mason University"
RR Meier,https://scholar.google.com//citations?hl=en&user=x7FSPw0AAAAJ,space science,8942,George Mason University
Martin E Ford,https://scholar.google.com//citations?hl=en&user=QoUYK-YAAAAJ,"motivation, competence, social intelligence, practical intelligence, social responsibility",8928,"Professor of Education, George Mason University"
Linda Hinnov,https://scholar.google.com//citations?hl=en&user=fQdXHj4AAAAJ,"Earth science, geology, signal analysis, stratigraphy, paleoclimatology",8747,"Professor, George Mason University"
Caroline D Hoemann,https://scholar.google.com//citations?hl=en&user=Iug7w3IAAAAJ,"Tissue Engineering, articular cartilage, bone, biomaterials, blood coagulation",8654,"Professor of Bioengineering, George Mason University, VA, USA"
Maurice Kugler,https://scholar.google.com//citations?hl=en&user=mhL5AQoAAAAJ,"Firm dynamics, International trade and investment, Economic dynamics, Productivity growth, Misallocation",8620,Professor of Public Policy at George Mason University
Jim X. Chen,https://scholar.google.com//citations?hl=en&user=929ovoAAAAAJ,"Graphics, Visualization, Virtual Reality, Medical Imaging",8537,"Professor of Computer Science, George Mason University"
Gregory Unruh,https://scholar.google.com//citations?hl=en&user=s3pViocAAAAJ,"Sustainability, Corporate Responsibility, Leadership, Digital Transformation, Wellbeing",8473,"Arison Endowed Professor of Values Leadership, George Mason University"
Hassan Gomaa,https://scholar.google.com//citations?hl=en&user=YjPRWAEAAAAJ,"software engineering, software architecture, model based software design, software product lines ...",8255,George Mason University
Lawrence H. White,https://scholar.google.com//citations?hl=en&user=nHY4-ygAAAAJ,"Money, Banking, History of Economics",8193,"Professor of Economics, George Mason University"
Sarah Fischer,https://scholar.google.com//citations?hl=en&user=ZRXfaDAAAAAJ,"impulsivity, bulimia, eating disorders, alcohol, expectancies",8126,"Associate Professor of Psychology, George Mason University"
Joel Schnur,https://scholar.google.com//citations?hl=en&user=g3mGz-QAAAAJ,"Self Assembly, Systems Biology, chiral based assembly",8001,"Research Professor Bio/Molecular Science, College of Science, George Mason University"
BC Green,https://scholar.google.com//citations?hl=en&user=atYWl9QAAAAJ,,7945,"Professor of Sport Management, George Mason University"
Elise Miller-Hooks,https://scholar.google.com//citations?hl=en&user=NhAyygEAAAAJ,,7942,George Mason University
Thomas Stratmann,https://scholar.google.com//citations?hl=en&user=NFaG1nYAAAAJ,"Applied Microeconomics, Political Economy, Law and Economics, Health Economics, Financial Markets",7937,George Mason University
Dale Rothman,https://scholar.google.com//citations?hl=en&user=fqIPnNoAAAAJ,"Scenario development, Systems modeling, Environment",7873,George Mason University
Andrew A Guccione,https://scholar.google.com//citations?hl=en&user=Zw8pGTUAAAAJ,,7835,George Mason University
Peter Plavchan,https://scholar.google.com//citations?hl=en&user=SUtHeX8AAAAJ,"Astronomy, Exoplanets",7753,"Associate Professor of Astronomy, George Mason University"
Johannes Rojahn,https://scholar.google.com//citations?hl=en&user=SxPZDxoAAAAJ,"Intellectual and developmental disabilities, autism, maldaptive behavior self-injurious behavior, aggression, mental illness",7717,"Professor Emeritus of Psychology, George Mason University"
Tim Groseclose,https://scholar.google.com//citations?hl=en&user=zhLbDtcAAAAJ,"media bias, political economy, sports economics",7688,"Professor of Economics, George Mason University"
Chris Kennedy,https://scholar.google.com//citations?hl=en&user=wSUq_LcAAAAJ,"Economics, marine and coastal science, energy policy",7634,"Environmental Science and Policy, George Mason University"
Marcos Zampieri,https://scholar.google.com//citations?hl=en&user=vAx7VsoAAAAJ,"Computational Linguistics, Natural Language Processing",7575,George Mason University
Ozlem Uzuner,https://scholar.google.com//citations?hl=en&user=jAZ90RIAAAAJ,"Artificial intelligence, natural language processing, medical informatics",7523,George Mason University
Jie Zhang,https://scholar.google.com//citations?hl=en&user=aeFDIT0AAAAJ,"Sun, Solar Physics, CMEs, flares",7445,George Mason University
Richard J. Cebula,https://scholar.google.com//citations?hl=en&user=v8c0yCEAAAAJ,Economics,7324,George Mason University
M. Cummings,https://scholar.google.com//citations?hl=en&user=TqARAGcAAAAJ,"human autonomy interaction, human robot interaction, certification of AI, human factors, human systems engineering",7276,"Professor, George Mason University"
Carlos Zambrana-Torrelio,https://scholar.google.com//citations?hl=en&user=0w22J5cAAAAJ,"Biodiversity, Ecology, Disease Ecology, Macroecology",7271,George Mason University
Stefan Toepler,https://scholar.google.com//citations?hl=en&user=5i11sq8AAAAJ,"philanthropy, nonprofit management, NGOs, civil society, cultural policy",7245,"Schar School, George Mason University"
Cynthia Lum,https://scholar.google.com//citations?hl=en&user=s6FqBXcAAAAJ,"Policing, evidence-based policing, evidence-based crime policy, translational criminology, evaluation research and methods",7195,"University Professor, George Mason University, Criminology, Law and Society"
Sanjeev Setia,https://scholar.google.com//citations?hl=en&user=UlbFDqoAAAAJ,"Computer Systems, Wireless Networks, Network Security",7184,"Department of Computer Science, George Mason University"
Kingsley E Haynes,https://scholar.google.com//citations?hl=en&user=Aclx17IAAAAJ,"Regional Economics, Transportation, Gravity Model, Infrastructure Development, Public Policy",7142,George Mason University
Nuno Garoupa,https://scholar.google.com//citations?hl=en&user=NNGBtpsAAAAJ,"Law and Economics, Comparative Law",7099,"George Mason University, Antonin Scalia Law School"
John S. Earle,https://scholar.google.com//citations?hl=en&user=JNT_RWkAAAAJ,"labor economics, entrepreneurship, firm dynamics, productivity, transition",7092,"Schar School of Policy and Government, George Mason University, and IZA - Institute for …"
Christopher Coyne,https://scholar.google.com//citations?hl=en&user=B3DGWkwAAAAJ,"Austrian Economics, Contitutional Political Economy, Development Economic, Public Choice",7000,George Mason University
Carl Botan,https://scholar.google.com//citations?hl=en&user=OFv1J3MAAAAJ,"Strategic Communication, Public Relations, Preparedness Communication",6960,"Professor of Communication, Emeritus, George Mason University"
Taylor C. Wallace,https://scholar.google.com//citations?hl=en&user=hARIHg0AAAAJ,"Nutrition, Food Science",6944,Think Healthy Group | George Mason University
Jonathan P Beauchamp,https://scholar.google.com//citations?hl=en&user=datbpk4AAAAJ,"Genoeconomics, Applied Microeconomics, Behavioral Economics",6930,George Mason University
